Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3529302;Interior;Matão;1049;30;;
3529401;RMSP (exceto capital);Mauá;9610;411;;
3529500;Interior;Mendonça;182;10;;
3529609;Interior;Meridiano;137;5;;
3529658;Interior;Mesópolis;37;1;;
3529708;Interior;Miguelópolis;590;17;;
3529807;Interior;Mineiros do Tietê;329;7;;
3529906;Interior;Miracatu;425;17;;
3530003;Interior;Mira Estrela;78;1;;
3530102;Interior;Mirandópolis;611;11;;
3530201;Interior;Mirante do Paranapanema;157;6;;
3530300;Interior;Mirassol;2455;60;;
3530409;Interior;Mirassolândia;194;2;;
3530508;Interior;Mococa;1619;36;;
3530607;RMSP (exceto capital);Mogi das Cruzes;10152;484;;
3530706;Interior;Mogi Guaçu;3629;99;;
3530805;Interior;Mogi Mirim;2349;65;;
3530904;Interior;Mombuca;54;1;;
3531001;Interior;Monções;85;3;;
3531100;Interior;Mongaguá;914;24;;
3531209;Interior;Monte Alegre do Sul;75;1;;
3531308;Interior;Monte Alto;1194;40;;
3531407;Interior;Monte Aprazível;790;19;;
3531506;Interior;Monte Azul Paulista;249;2;;
3531605;Interior;Monte Castelo;123;4;;
3531704;Interior;Monteiro Lobato;80;2;;
3531803;Interior;Monte Mor;1711;34;;
3531902;Interior;Morro Agudo;1336;26;;
3532009;Interior;Morungaba;155;3;;
3532058;Interior;Motuca;71;3;;
3532108;Interior;Murutinga do Sul;70;4;;
3532157;Interior;Nantes;51;1;;
3532207;Interior;Narandiba;138;5;;
3532306;Interior;Natividade da Serra;35;1;;
3532405;Interior;Nazaré Paulista;304;5;;
3532504;Interior;Neves Paulista;291;7;;
3532603;Interior;Nhandeara;253;9;;
3532702;Interior;Nipoã;123;2;;
3532801;Interior;Nova Aliança;295;4;;
3532827;Interior;Nova Campina;89;4;;
3532843;Interior;Nova Canaã Paulista;79;2;;
3532868;Interior;Nova Castilho;21;2;;
3532900;Interior;Nova Europa;324;3;;
3533007;Interior;Nova Granada;1108;23;;
3533106;Interior;Nova Guataporanga;34;0;;
3533205;Interior;Nova Independência;96;1;;
3533254;Interior;Novais;199;8;;
3533304;Interior;Nova Luzitânia;98;2;;
3533403;Interior;Nova Odessa;1548;60;;
3533502;Interior;Novo Horizonte;1336;29;;
3533601;Interior;Nuporanga;127;2;;
3533700;Interior;Ocauçu;41;0;;
3533809;Interior;Óleo;6;0;;
3533908;Interior;Olímpia;2797;72;;
3534005;Interior;Onda Verde;250;4;;
3534104;Interior;Oriente;95;4;;
3534203;Interior;Orindiúva;322;5;;
3534302;Interior;Orlândia;1157;40;;
3534401;RMSP (exceto capital);Osasco;16546;889;;
3534500;Interior;Oscar Bressane;26;0;;
3534609;Interior;Osvaldo Cruz;342;11;;
3534708;Interior;Ourinhos;2371;48;;
3534757;Interior;Ouroeste;349;6;;
3534807;Interior;Ouro Verde;72;0;;
3534906;Interior;Pacaembu;391;9;;
3535002;Interior;Palestina;156;7;;
3535101;Interior;Palmares Paulista;428;15;;
3535200;Interior;Palmeira d'Oeste;248;6;;
3535309;Interior;Palmital;532;8;;
3535408;Interior;Panorama;147;7;;
3535507;Interior;Paraguaçu Paulista;756;17;;
3535606;Interior;Paraibuna;209;11;;
3535705;Interior;Paraíso;170;4;;
3535804;Interior;Paranapanema;241;3;;
3535903;Interior;Paranapuã;132;6;;
3536000;Interior;Parapuã;125;4;;
3536109;Interior;Pardinho;212;1;;
3536208;Interior;Pariquera-Açu;891;15;;
3536257;Interior;Parisi;121;6;;
3536307;Interior;Patrocínio Paulista;199;8;;
3536406;Interior;Paulicéia;71;2;;
3536505;Interior;Paulínia;5904;90;;
3536570;Interior;Paulistânia;12;0;;
3536604;Interior;Paulo de Faria;218;3;;
3536703;Interior;Pederneiras;964;18;;
3536802;Interior;Pedra Bela;103;1;;
3536901;Interior;Pedranópolis;74;2;;
3537008;Interior;Pedregulho;101;2;;
3537107;Interior;Pedreira;646;9;;
3537156;Interior;Pedrinhas Paulista;28;1;;
3537206;Interior;Pedro de Toledo;100;7;;
3537305;Interior;Penápolis;1588;40;;
3537404;Interior;Pereira Barreto;397;9;;
3537503;Interior;Pereiras;240;1;;
3537602;Interior;Peruíbe;1332;45;;
3537701;Interior;Piacatu;125;1;;
3537800;Interior;Piedade;1055;42;;
3537909;Interior;Pilar do Sul;351;8;;
3538006;Interior;Pindamonhangaba;2773;56;;
3538105;Interior;Pindorama;634;17;;
3538204;Interior;Pinhalzinho;158;2;;
3538303;Interior;Piquerobi;47;0;;
3538501;Interior;Piquete;172;3;;
3538600;Interior;Piracaia;560;6;;
3538709;Interior;Piracicaba;16274;384;;
3538808;Interior;Piraju;311;8;;
3538907;Interior;Pirajuí;702;10;;
3539004;Interior;Pirangi;394;16;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;690;8;;
3539202;Interior;Pirapozinho;1045;23;;
3539301;Interior;Pirassununga;1918;36;;
3539400;Interior;Piratininga;367;11;;
3539509;Interior;Pitangueiras;1461;35;;
3539608;Interior;Planalto;208;3;;
3539707;Interior;Platina;70;0;;
3539806;RMSP (exceto capital);Poá;2438;122;;
3539905;Interior;Poloni;104;3;;
3540002;Interior;Pompéia;193;4;;
3540101;Interior;Pongaí;124;6;;
3540200;Interior;Pontal;1625;53;;
3540259;Interior;Pontalinda;80;5;;
3540309;Interior;Pontes Gestal;143;4;;
3540408;Interior;Populina;66;3;;
3540507;Interior;Porangaba;67;0;;
3540606;Interior;Porto Feliz;1495;19;;
3540705;Interior;Porto Ferreira;1420;39;;
3540754;Interior;Potim;335;8;;
3540804;Interior;Potirendaba;690;12;;
3540853;Interior;Pracinha;96;0;;
3540903;Interior;Pradópolis;812;23;;
3541000;Interior;Praia Grande;8816;297;;
3541059;Interior;Pratânia;65;2;;
3541109;Interior;Presidente Alves;86;2;;
3541208;Interior;Presidente Bernardes;412;12;;
3541307;Interior;Presidente Epitácio;634;20;;
3541406;Interior;Presidente Prudente;6971;168;;
3541505;Interior;Presidente Venceslau;576;24;;
3541604;Interior;Promissão;1970;13;;
3541653;Interior;Quadra;50;2;;
3541703;Interior;Quatá;257;4;;
3541802;Interior;Queiroz;33;2;;
3541901;Interior;Queluz;358;3;;
3542008;Interior;Quintana;80;1;;
3542107;Interior;Rafard;222;3;;
3542206;Interior;Rancharia;1066;16;;
3542305;Interior;Redenção da Serra;24;0;;
3542404;Interior;Regente Feijó;202;8;;
3542503;Interior;Reginópolis;125;2;;
3542602;Interior;Registro;1833;47;;
3542701;Interior;Restinga;82;0;;
3542800;Interior;Ribeira;53;0;;
3542909;Interior;Ribeirão Bonito;377;8;;
3543006;Interior;Ribeirão Branco;290;6;;
3543105;Interior;Ribeirão Corrente;78;1;;
3543204;Interior;Ribeirão do Sul;59;1;;
3543238;Interior;Ribeirão dos Índios;39;3;;
3543253;Interior;Ribeirão Grande;163;3;;
3543303;RMSP (exceto capital);Ribeirão Pires;2618;89;;
3543402;Interior;Ribeirão Preto;28189;902;;
3543501;Interior;Riversul;21;2;;
3543600;Interior;Rifaina;54;3;;
3543709;Interior;Rincão;115;4;;
3543808;Interior;Rinópolis;101;0;;
3543907;Interior;Rio Claro;4500;148;;
3544004;Interior;Rio das Pedras;799;38;;
3544103;RMSP (exceto capital);Rio Grande da Serra;782;29;;
3544202;Interior;Riolândia;360;3;;
3544251;Interior;Rosana;219;4;;
3544301;Interior;Roseira;269;5;;
3544400;Interior;Rubiácea;51;0;;
3544509;Interior;Rubinéia;83;2;;
3544608;Interior;Sabino;96;7;;
3544707;Interior;Sagres;10;0;;
3544806;Interior;Sales;91;4;;
3544905;Interior;Sales Oliveira;479;4;;
3545001;RMSP (exceto capital);Salesópolis;279;17;;
3545100;Interior;Salmourão;26;1;;
3545159;Interior;Saltinho;177;2;;
3545209;Interior;Salto;3457;75;;
3545308;Interior;Salto de Pirapora;1156;28;;
3545407;Interior;Salto Grande;156;2;;
3545506;Interior;Sandovalina;91;3;;
3545605;Interior;Santa Adélia;406;5;;
3545704;Interior;Santa Albertina;214;2;;
3545803;Interior;Santa Bárbara d'Oeste;6702;196;;
3546009;Interior;Santa Branca;233;7;;
3546108;Interior;Santa Clara d'Oeste;66;5;;
3546207;Interior;Santa Cruz da Conceição;146;0;;
3546256;Interior;Santa Cruz da Esperança;21;2;;
3546306;Interior;Santa Cruz das Palmeiras;1502;24;;
3546405;Interior;Santa Cruz do Rio Pardo;915;10;;
3546504;Interior;Santa Ernestina;176;3;;
3546603;Interior;Santa Fé do Sul;1187;40;;
3546702;Interior;Santa Gertrudes;1075;19;;
3546801;RMSP (exceto capital);Santa Isabel;1603;76;;
3546900;Interior;Santa Lúcia;116;5;;
3547007;Interior;Santa Maria da Serra;130;1;;
3547106;Interior;Santa Mercedes;11;1;;
3547205;Interior;Santana da Ponte Pensa;18;0;;
3547304;RMSP (exceto capital);Santana de Parnaíba;4270;114;;
3547403;Interior;Santa Rita d'Oeste;40;1;;
3547502;Interior;Santa Rita do Passa Quatro;406;13;;
3547601;Interior;Santa Rosa de Viterbo;445;4;;
3547650;Interior;Santa Salete;61;2;;
3547700;Interior;Santo Anastácio;372;12;;
3547809;RMSP (exceto capital);Santo André;23514;682;;
3547908;Interior;Santo Antônio da Alegria;155;3;;
3548005;Interior;Santo Antônio de Posse;804;11;;
3548054;Interior;Santo Antônio do Aracanguá;171;6;;
3548104;Interior;Santo Antônio do Jardim;88;3;;
3548203;Interior;Santo Antônio do Pinhal;84;3;;
3548302;Interior;Santo Expedito;31;1;;
3548401;Interior;Santópolis do Aguapeí;102;4;;
3548500;Interior;Santos;28285;788;;
3548609;Interior;São Bento do Sapucaí;82;1;;
3548708;RMSP (exceto capital);São Bernardo do Campo;30126;1083;;
3548807;RMSP (exceto capital);São Caetano do Sul;6482;274;;
3548906;Interior;São Carlos;4417;63;;
3549003;Interior;São Francisco;67;5;;
3549102;Interior;São João da Boa Vista;1051;29;;
3549201;Interior;São João das Duas Pontes;79;3;;
3549250;Interior;São João de Iracema;44;3;;
3549300;Interior;São João do Pau d'Alho;6;0;;
3549409;Interior;São Joaquim da Barra;1402;31;;
3549508;Interior;São José da Bela Vista;50;4;;
3549607;Interior;São José do Barreiro;23;2;;
3549706;Interior;São José do Rio Pardo;866;26;;
3549805;Interior;São José do Rio Preto;31419;813;;
3549904;Interior;São José dos Campos;21322;497;;
3549953;RMSP (exceto capital);São Lourenço da Serra;278;8;;
3550001;Interior;São Luiz do Paraitinga;18;5;;
3550100;Interior;São Manuel;411;11;;
3550209;Interior;São Miguel Arcanjo;303;9;;
3550308;Capital;São Paulo;358390;14637;;
3550407;Interior;São Pedro;816;11;;
3550506;Interior;São Pedro do Turvo;157;1;;
3550605;Interior;São Roque;1253;28;;
3550704;Interior;São Sebastião;2145;44;;
3550803;Interior;São Sebastião da Grama;224;5;;
3550902;Interior;São Simão;219;6;;
3551009;Interior;São Vicente;8385;487;;
3551108;Interior;Sarapuí;30;1;;
3551207;Interior;Sarutaiá;64;3;;
3551306;Interior;Sebastianópolis do Sul;75;0;;
3551405;Interior;Serra Azul;733;4;;
3551504;Interior;Serrana;1357;47;;
3551603;Interior;Serra Negra;301;2;;
3551702;Interior;Sertãozinho;5208;123;;
3551801;Interior;Sete Barras;508;11;;
3551900;Interior;Severínia;780;19;;
3552007;Interior;Silveiras;52;1;;
3552106;Interior;Socorro;745;12;;
3552205;Interior;Sorocaba;19920;493;;
3552304;Interior;Sud Mennucci;273;1;;
3552403;Interior;Sumaré;7409;232;;
3552502;RMSP (exceto capital);Suzano;6577;259;;
3552551;Interior;Suzanápolis;137;2;;
3552601;Interior;Tabapuã;447;15;;
3552700;Interior;Tabatinga;407;13;;
3552809;RMSP (exceto capital);Taboão da Serra;9203;321;;
3552908;Interior;Taciba;117;2;;
3553005;Interior;Taguaí;386;4;;
3553104;Interior;Taiaçu;211;1;;
3553203;Interior;Taiúva;305;4;;
3553302;Interior;Tambaú;516;12;;
3553401;Interior;Tanabi;1468;30;;
3553500;Interior;Tapiraí;172;3;;
3553609;Interior;Tapiratiba;227;1;;
3553658;Interior;Taquaral;101;2;;
3553708;Interior;Taquaritinga;1321;45;;
3553807;Interior;Taquarituba;523;9;;
3553856;Interior;Taquarivaí;61;2;;
3553906;Interior;Tarabai;241;6;;
3553955;Interior;Tarumã;310;6;;
3554003;Interior;Tatuí;3461;86;;
3554102;Interior;Taubaté;6943;181;;
3554201;Interior;Tejupá;28;0;;
3554300;Interior;Teodoro Sampaio;472;7;;
3554409;Interior;Terra Roxa;302;6;;
3554508;Interior;Tietê;762;25;;
3554607;Interior;Timburi;27;2;;
3554656;Interior;Torre de Pedra;23;2;;
3554706;Interior;Torrinha;197;6;;
3554755;Interior;Trabiju;28;0;;
3554805;Interior;Tremembé;554;2;;
3554904;Interior;Três Fronteiras;270;9;;
3554953;Interior;Tuiuti;65;1;;
3555000;Interior;Tupã;1171;45;;
3555109;Interior;Tupi Paulista;252;3;;
3555208;Interior;Turiúba;50;2;;
3555307;Interior;Turmalina;37;0;;
3555356;Interior;Ubarana;306;5;;
3555406;Interior;Ubatuba;2083;45;;
3555505;Interior;Ubirajara;85;1;;
3555604;Interior;Uchoa;448;10;;
3555703;Interior;União Paulista;75;2;;
3555802;Interior;Urânia;385;14;;
3555901;Interior;Uru;63;3;;
3556008;Interior;Urupês;259;14;;
3556107;Interior;Valentim Gentil;852;14;;
3556206;Interior;Valinhos;3579;118;;
3556305;Interior;Valparaíso;734;20;;
3556354;Interior;Vargem;83;1;;
3556404;Interior;Vargem Grande do Sul;1111;18;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;727;29;;
3556503;Interior;Várzea Paulista;1970;76;;
3556602;Interior;Vera Cruz;159;8;;
3556701;Interior;Vinhedo;2423;42;;
3556800;Interior;Viradouro;568;9;;
3556909;Interior;Vista Alegre do Alto;228;3;;
3556958;Interior;Vitória Brasil;37;0;;
3557006;Interior;Votorantim;3013;98;;
3557105;Interior;Votuporanga;5977;111;;
3557154;Interior;Zacarias;119;1;;
3557204;Interior;Chavantes;172;2;;
3557303;Interior;Estiva Gerbi;171;5;;
;;Ignorado;205;0;;
